URI,Method,User-agent,Body
/jungle/d0a390639afbd9d49c345d3996af0d5c1787.png,GET,okhttp/2.7.5,
/jungle/6906b668885615edcfa830bb5d98d0482327.png,GET,okhttp/2.7.5,
/api/recommend/latestupdatetime?cityId=1&__vhost=aop.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=190e5718-69c2-49dc-8ded-a25c406a634a&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515492729&__skua=594476d291cbea2d29902a8d800824bd&__skno=72246916-fe52-4d0e-9ea7-114bacc2aa92&__skcy=sQr80bn%2BIld67p8aBug9Jv3KjvI%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/jungle/8e2f69e3ae42e903e8c948651cf7dced1453.png,GET,okhttp/2.7.5,
/jungle/a7d251101ae660a1ae4b1ff4ce5b97832298.png.webp,GET,okhttp/2.7.5,
/jungle/b1eb48f44dbdb14593a7a17539dc46362383.png,GET,okhttp/2.7.5,
/jungle/5a8ee087ac2404c1a12cd459142b4da94777.png,GET,okhttp/2.7.5,
/jungle/03f52e022da028398eea6d91056613ff2304.png,GET,okhttp/2.7.5,
/jungle/e79f2aae7b30d33bf997c3804f3ac9286517.png,GET,okhttp/2.7.5,
/jungle/fba544dc3aefc83432e93d2428ef1baf2524.png,GET,okhttp/2.7.5,
/jungle/40839a8eb44386a4d4a6e1270bc926164494.png,GET,okhttp/2.7.5,
/jungle/001ec774ee983b897112068baa074e466269.png,GET,okhttp/2.7.5,
/jungle/27e7846653e6dd753689a23ab3fa8caa1949.png,GET,okhttp/2.7.5,
/jungle/2b962833f8ed4e6f258eb2cf68fe2e992409.png,GET,okhttp/2.7.5,
/jungle/d499079ece6cb1da7b3473bbc6586a091686.png,GET,okhttp/2.7.5,
/jungle/7975b2f54bca78ea0cad5c635c100c532318.png,GET,okhttp/2.7.5,
/jungle/c241b13eec33534fa4d4e65f5c4b6b9b2237.png,GET,okhttp/2.7.5,
/jungle/69b17fb80d1b39556efe5e216d609c923163.png,GET,okhttp/2.7.5,
/jungle/d6cdde7b946063b4264dece9d3772ec94181.png,GET,okhttp/2.7.5,
/jungle/c37eaaefbc5c3f96a7d8c252ecdc5fcc2040.png,GET,okhttp/2.7.5,
/jungle/22ae3e3b3f89ae04e5f44f243d7703b35129.png,GET,okhttp/2.7.5,
"/group/v1/city/latlng/39.91834,116.685677?tag=0&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=569b265b-a637-48b4-8ee6-17ec219b7407&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493334&__skua=594476d291cbea2d29902a8d800824bd&__skno=df3b179a-e5d9-4482-80ac-e70c8ffc9055&__skcy=SxmpZ%2Fn0wBDN2Z5L6GXQpvefDeI%3D",GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/group/v2/recommend/homepage/city/1?userId=65687079&position=39.91834%2C116.685677&supportId=1&wifi-cur=0&wifi-mac=00%3A87%3A46%3A0c%3A61%3Abd%08d0%3A5b%3Aa8%3A9e%3Abd%3Acd%0824%3A69%3A68%3A35%3Adc%3A32%0800%3A27%3A1d%3A06%3A87%3A5d%08&wifi-name=360%08MF910S_9EBDCD%08TP-LINK_DC32%08CMCC-WEB%08&wifi-strength=-15%08-63%08-69%08-72%08&fields=imageUrl%2Ctitle%2CimageTitle%2CsubTitle%2CsubTitle2%2CmainMessage%2CmainMessage2%2CsubMessage%2CtopRightInfo%2CbottomRightInfo%2C_type%2C_from%2C_id%2C_iUrl%2C_jumpNeed%2Ccolor%2Ccampaign%2CglobalId&client=android&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=cea4fc3a-7b50-4f19-b45b-f456e19a77d8&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493409&__skua=594476d291cbea2d29902a8d800824bd&__skno=fb02d6e2-931e-49d9-9660-1cc09f2612f9&__skcy=K02DJ9F%2FfwpXf5bNHb0%2FRSn7B5U%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/group/v1/deal/topic/elaborate/city/1?latlng=39.91834%2C116.685677&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=9e69e2f0-d466-48a7-9cfb-2c030680b265&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493441&__skua=594476d291cbea2d29902a8d800824bd&__skno=8dd700a9-473f-4e65-8e62-5bd0f143210a&__skcy=ERtSMDdCO4J%2FfamHlalW8e%2BRoJo%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/group/v1/deal/topic/beautiful/city/1?version_name=6.8.1&limit=5&latlng=39.91834%2C116.685677&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=be69e3cd-c5fd-477a-865d-a699f6fc40bf&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493412&__skua=594476d291cbea2d29902a8d800824bd&__skno=154b79be-7081-4f60-8e44-f1c18d05d296&__skcy=paPp5Ah8O56fGT6NjDeAr%2BrKNUA%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/group/v1/opt/homepage/display?version_name=6.8.1&uerid=65687079&latlng=39.91834%2C116.685677&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=b8364018-1aee-4367-b5ca-66cf50e1b33c&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493433&__skua=594476d291cbea2d29902a8d800824bd&__skno=92b980a6-0fd3-42bb-b984-542fbef6c5db&__skcy=eziWSUnPOZLOwCzv9RmsMvDIU0s%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
"/group/v1/itemportal/position/39.91834,116.685677?__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=0b33f561-37c3-47a8-93bb-763fe86be2c0&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493451&__skua=594476d291cbea2d29902a8d800824bd&__skno=903b026b-de1b-4be3-9dfe-47739d17f919&__skcy=xsiVJPNEW%2FGFKYX238mGPGCp1r4%3D",GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/group/v1/opt/tabconfig/city/1?latlng=39.91834%2C116.685677&utm_device=MI%204LTE&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=f558c99b-447a-4df5-9859-c2461ffa3999&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493429&__skua=594476d291cbea2d29902a8d800824bd&__skno=370a808d-2434-4a3b-895a-6cc6cd50a4e0&__skcy=lGc4pKd%2FZnxGq%2BnYW3IyHaCzSiE%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/api/entry/remoteRank?latlng=39.91834%2C116.685677&__vhost=aop.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=532f2b90-073c-41c1-9796-70eb47880d7e&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493449&__skua=594476d291cbea2d29902a8d800824bd&__skno=46dee5da-c923-455a-8d8e-46bc7a0434b6&__skcy=BFKANOLgVZGDCi21u5qg%2F6s9Ufo%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
"/group/v1/shoppingmall/search?position=39.91834,116.685677&offset=0&limit=6&cityId=1&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=d6cdaee2-016f-4a3d-9876-f9d9b8794efa&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493422&__skua=594476d291cbea2d29902a8d800824bd&__skno=554e0467-b4a0-4707-a09d-fbd41fd5f543&__skcy=8mJ%2BHBgwqNtC%2B6lcqfrjSfYv%2BrY%3D",GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/group/v1/deal/topic/discount/city/1?version_name=6.8.1&limit=7&latlng=39.91834%2C116.685677&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=50c29ba4-b018-4ed2-b3ea-feed200a31ef&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493497&__skua=594476d291cbea2d29902a8d800824bd&__skno=ab626456-a4c2-4869-b17f-341b6d862660&__skcy=U4u132XTgU3Bi0m4MaO%2BH7ICn2M%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/group/v1/deal/activity/1?ptId=android_6.8.1&latlng=39.91834%2C116.685677&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=6b010a89-e40a-4584-a689-5c9386b9f5c3&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493566&__skua=594476d291cbea2d29902a8d800824bd&__skno=8870146a-da39-43d2-bdde-2dc418dc38a3&__skcy=5zQBZgXq6f8oBqqBjkw25UZ1v0A%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
"/api/entry?name=brandarea&latlng=39.91834,116.685677&__vhost=aop.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=c793adb4-d8e1-46bb-a223-47185013e5b9&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493563&__skua=594476d291cbea2d29902a8d800824bd&__skno=7b95b061-7421-48bc-972d-a4e9e8700934&__skcy=r%2B7dBBn5Br6i5Bl85Gs4KaOzjKQ%3D",GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/advert/v3/configs?__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=04a0fcc5-52ff-4e85-9d96-7001af0cfcf0&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493620&__skua=594476d291cbea2d29902a8d800824bd&__skno=af29d414-3dd5-4e6a-80ff-122ddffd52f6&__skcy=ihb%2F3xcsEXcNZxe9dznc2kzJM1w%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/advert/v3/configs?__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=5151994f-3bea-448e-ad54-f08feff36beb&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515493621&__skua=594476d291cbea2d29902a8d800824bd&__skno=a756940d-36ea-4708-9f2a-e7036567f3cd&__skcy=kLKmP2ZhsdZSP9GtANbjLuZ0%2BfE%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
